n_factors,n_epochs,lr_all,reg_all,val_ndcg,val_recall,train_time_sec
50,50,0.001,0.01,0.004790419719386005,0.005470562159940538,3.754689931869507
50,20,0.001,0.05,0.004481463960606984,0.0027566618860712672,1.890225887298584
100,100,0.001,0.02,0.003772637466153008,0.0010875594392107718,14.121143817901611
100,20,0.005,0.02,0.00334553945588893,0.0009294145315422596,3.3374879360198975
100,50,0.005,0.05,0.003204067541582048,0.0014036523908823072,7.71768593788147
100,20,0.01,0.05,0.0018147482486602431,0.0006832452973789045,3.377439022064209
100,20,0.001,0.01,0.0013413595486788017,0.002280598351625775,3.3161838054656982
100,20,0.001,0.02,0.001172336764786559,0.002033544915775309,3.314929723739624
100,100,0.001,0.05,0.0007459790334198461,0.00031687391096846604,14.474830865859985
100,20,0.001,0.05,0.0005714920420986487,0.0007271260485116744,3.3018717765808105
100,20,0.005,0.05,0.0005696460099705225,0.00026046704960117984,3.3706743717193604
100,50,0.001,0.05,0.00020060286841833638,0.00011297912088406516,7.428590774536133
100,50,0.001,0.02,0.00018149996954345388,0.00010426992007448517,7.500471115112305
100,50,0.001,0.01,0.00017878081869370107,0.00010426992007448517,7.4859490394592285
