negative_samples,training_time,ndcg,map,precision,recall
1,101.3937439918518,0.08013906182926667,0.035825505479969766,0.06860000000000001,0.057353598111440425
3,189.4059190750122,0.10600720484955957,0.05199291918619299,0.0844,0.080889759338029
5,315.97808504104614,0.1036269620120578,0.05113268707482993,0.08280000000000001,0.07905136294149535
10,615.7802617549896,0.11777663717150982,0.05904690381708238,0.08880000000000002,0.10661062678540179
