intermediate_dim,latent_dim,n_epochs,beta,val_ndcg,val_recall,train_time_sec
400,50,50,0.5,0.09937433242196514,0.0845089105451353,8.705626726150513
400,50,100,0.5,0.09722987060631359,0.08435704616600764,14.78869366645813
400,100,50,0.5,0.09664312344888855,0.07510804984753623,8.865556955337524
200,50,100,0.5,0.09662636794222722,0.07885642302524389,14.407745838165283
200,70,100,0.5,0.09501871659523795,0.07548149273881821,14.27814793586731
400,50,100,1.0,0.09399867998920132,0.07650011664946584,14.683626174926758
100,50,100,0.5,0.09379606807791768,0.07455365603636133,14.279861688613892
400,100,100,0.5,0.09294206481054562,0.08353631246431127,15.13537859916687
400,70,100,1.0,0.09284878941326817,0.07555674841520016,14.595613241195679
200,70,50,0.5,0.09265769228410672,0.07734796687358286,8.777526378631592
200,100,100,0.5,0.09246365434585571,0.0745657958522616,14.659403085708618
400,100,100,1.0,0.0918516813773572,0.07485208070076828,14.415267705917358
100,70,100,1.0,0.09107663177907065,0.07187723845349547,14.507484912872314
400,70,100,0.5,0.09100498612872511,0.07918573920811835,14.646625757217407
200,50,100,1.0,0.09075876809534195,0.07057242968840349,14.380885601043701
200,100,100,1.0,0.09058072641362928,0.06996315498003862,14.30018138885498
100,70,100,0.5,0.09015312295753103,0.0711699945275654,14.392309188842773
200,100,50,0.5,0.08995746166836677,0.06963712433528488,8.54379916191101
200,70,100,1.0,0.08980527794844033,0.06982815523564395,14.501829624176025
400,70,50,0.5,0.08923870650570333,0.0739002955745514,8.672465324401855
200,50,50,0.5,0.08894029672547668,0.06875231923421915,8.753462553024292
400,50,50,1.0,0.08880095646232003,0.06847339750533987,8.69978404045105
100,100,100,0.5,0.08843813171664619,0.06803626455882929,14.619443893432617
200,50,50,1.0,0.08841332626223676,0.06467166612047999,8.634676933288574
100,100,100,1.0,0.088121897079764,0.06482464311733897,14.342273473739624
100,50,100,1.0,0.08740630180926008,0.06622983489303069,14.396273612976074
400,70,50,1.0,0.08484091476338959,0.06880065948327348,8.692980527877808
400,100,50,1.0,0.08439304003923843,0.06679146345604695,8.684508800506592
200,100,50,1.0,0.0839167142797375,0.06626961353826423,8.644994735717773
100,100,50,0.5,0.08241248400548903,0.062235722206829415,8.636108875274658
100,50,50,0.5,0.08084430090646419,0.05983689886795772,12.41985821723938
100,100,50,1.0,0.08031617281062606,0.05858214337265737,8.51292896270752
100,70,50,1.0,0.08025385238157307,0.059439765288198616,8.608335971832275
200,70,50,1.0,0.08023859237105371,0.06105523791808843,8.771319389343262
100,70,50,0.5,0.07838517815724774,0.05709260297947967,8.71084451675415
100,50,50,1.0,0.07522892044143283,0.05608428629806693,9.064242601394653
